Gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AADAC|13,0.731474173,0.880150578,0.644308111,1.366039884,0.171926445,0.233102726
AAMP|14,7932.784419,0.292361286,0.044712514,6.538690375,6.21E-11,3.32E-10
AANAT|15,0.973838312,0.360636813,0.277393954,1.300088946,0.193570486,0.258808911
AARS|16,8315.186392,0.034157272,0.063925067,0.534332979,0.593111179,0.683455608
ABAT|18,5240.850267,0.348381652,0.131013608,2.659125693,0.007834373,0.013869872
ABCA1|19,1058.122155,0.080733801,0.122528031,0.658900663,0.50995956,0.601847749
ABCA2|20,4690.941186,0.615992099,0.076323681,8.070786023,6.98E-16,6.86E-15
ABCA3|21,3416.012353,0.651115239,0.082788507,7.864802317,3.70E-15,3.31E-14
ABCB7|22,876.0234765,0.065879108,0.04588476,1.435751389,0.151073097,0.207707028
ABCF1|23,3968.341485,0.100780032,0.040714876,2.475263172,0.013313803,0.022633465
ABCA4|24,17.80138452,-2.666539515,0.218928614,-12.17994973,3.98E-34,3.29E-32
ABL1|25,6277.538067,-0.091240766,0.057327955,-1.591558003,0.111484053,0.157958496
ABP1|26,1326.657012,-1.965849547,0.360520177,-5.452814217,4.96E-08,1.85E-07
ABL2|27,1460.686869,0.190481611,0.056069512,3.39724042,0.000680691,0.001420231
ABO|28,74.86130503,-1.466279376,0.273822166,-5.354860046,8.56E-08,3.11E-07
ABR|29,4180.481438,-0.277669029,0.053074858,-5.231649037,1.68E-07,5.84E-07
ACAA1|30,6493.550172,0.220923739,0.080207791,2.754392528,0.00588012,0.010633086
ACACA|31,14244.85986,0.80652668,0.097551967,8.26766191,1.37E-16,1.47E-15
ACACB|32,1090.821217,-1.133166645,0.114207667,-9.921984001,3.34E-23,8.36E-22
ACADL|33,1293.98666,0.477600158,0.187527348,2.54682937,0.010870657,0.018768869
ACADM|34,2162.390339,-0.16708888,0.074746981,-2.235393018,0.025391558,0.041054382
ACADS|35,1059.609339,-0.047372652,0.103226444,-0.458919725,0.646291813,0.733436053
ACADSB|36,5350.418795,0.3282524,0.098735773,3.324553921,0.000885601,0.00181617
ACADVL|37,13891.19194,0.032450919,0.081148112,0.399897394,0.689232092,0.773773174
ACAT1|38,3402.836743,0.234744942,0.087263655,2.690065415,0.007143801,0.012737869
ACAT2|39,2364.861649,-0.133656706,0.112423178,-1.188871437,0.234490262,0.306294923
ACCN1|40,50.42443407,1.705560235,0.347587356,4.906853501,9.25E-07,2.93E-06
ACCN2|41,569.0548892,0.539467466,0.099961387,5.396758516,6.79E-08,2.50E-07
ACHE|43,346.4004621,0.167148721,0.178682292,0.935452072,0.349555372,0.434464747
ACLY|47,18204.0619,0.571789997,0.088293126,6.476042025,9.42E-11,4.93E-10
